,c_bound_S,c_bound_T,c_bound_joint,c_bound_mcallester,c_bound_seeger,dS,dT,eS,eT,joint_bound,nb_per_attribute,nb_tree,prior,rS,rT,risk_bound,voter,zero_one_S,zero_one_T,max-iteration,mu
fashion_to_pu--c-bound-seeger,0.0892333938530063,0.0910458970001015,0.133127562096187,0.2462884146256725,0.1652617124572898,0.0586979996606878,0.0605967594955215,0.0223636341113904,0.0228250274841704,0.1255041547233381,10.0,100.0,0.5,0.0517126339417343,0.0531234072319311,0.1286483601257979,1.0,0.0286666666666666,0.0295,,
fashion_to_pu--cb-boost,0.0879755270872738,0.0922678048025655,0.1364159059427298,0.2575006643340727,0.1703951608904275,0.0591016364646941,0.0601330054780354,0.022057557397075,0.0231217737507767,0.129472305900461,10.0,100.0,0.5,0.0516083756294221,0.0531882764897944,0.1303784932058277,1.0,0.0276666666666666,0.03,,
fashion_to_pu--mincq,0.1108850502871442,0.137930657006444,0.8088355594145772,0.9684561792724672,0.960939901430768,0.3874454182706549,0.3882726673932483,0.082587817180462,0.0864135487199886,0.7670698434187095,10.0,100.0,0.5,0.2763105263157895,0.2805498824166128,0.8473435585566551,1.0,0.035,0.045,,0.447378947368421
glass--bound-joint,0.220790168953305,0.1288014159214001,0.8178642349962276,0.9322116991696482,0.8890952523227971,0.1380788829693455,0.0963729787089668,0.055452574276851,0.032504978986184,0.9025281664805728,10.0,100.0,0.5,0.1244920157615237,0.0806914683406674,0.648428768937475,1.0,0.0555555555555555,0.0560747663551401,,
glass--bound-risk,0.2113400898432722,0.1624240145264044,0.8501140724496441,0.9056409306358376,0.8324991925388514,0.0486735627810501,0.0498864217791788,0.053796493547843,0.0408884324483027,1.073783684020554,10.0,100.0,0.5,0.078133274938368,0.0658316433378921,0.5659625809301299,1.0,0.0555555555555555,0.0467289719626168,,
glass--c-bound-joint,0.1827502662451945,0.1325504729104751,0.7980403361882816,0.9153487347273842,0.858369793281333,0.1139406652284705,0.0875764497754162,0.0458477893024427,0.0332717003954958,0.8883352965972184,10.0,100.0,0.5,0.102818121916678,0.0770599252832039,0.6027967798958163,1.0,0.0555555555555555,0.0560747663551401,,
glass--c-bound-mcallester,0.2067073404893757,0.1544119136748231,0.8326084902219354,0.9044878526157952,0.8345267764579231,0.0619905289476856,0.0590535292937096,0.0521896097317996,0.0386983621053074,1.0156942837771363,10.0,100.0,0.5,0.0831848742056425,0.0682251267521622,0.5684841436370007,1.0,0.0555555555555555,0.0467289719626168,,
glass--c-bound-seeger,0.2107383596970518,0.1619318948647367,0.850310063854835,0.9057218373464344,0.8324901696803398,0.0487038922706078,0.049908820197587,0.053634602509863,0.0407605094557096,1.0743478385489318,10.0,100.0,0.5,0.0779865486451669,0.0657149195545031,0.5659672652223203,1.0,0.0555555555555555,0.0467289719626168,,
glass--cb-boost,0.134939789488193,0.1547452695897361,0.9108442575491268,0.9578274104720692,0.9179022165986014,0.1284953793397384,0.0798066544495465,0.0348945641442332,0.0386880747296746,1.16757599801308,10.0,100.0,0.5,0.0991422538141024,0.0785914019544479,0.6927505673669588,1.0,0.0185185185185185,0.0373831775700934,,
glass--mincq,0.176290659145304,0.1450801600608617,0.9988264558183452,1.0,1.0,0.3637980010968422,0.3580760015149917,0.0812562626094736,0.074655643185331,1.264023388089282,10.0,100.0,0.5,0.2631552631578948,0.253693643942827,1.0848609717977236,1.0,0.0555555555555555,0.0560747663551401,,
heart--bound-joint,0.4809682713529176,0.6313839876402736,0.9691773873518692,0.9951780828471798,0.9919788316923148,0.2629440961333104,0.2913237043824407,0.1204961640815409,0.1582241197988688,1.1871364309333696,10.0,100.0,0.5,0.2519682121481961,0.3038859719900892,0.8978315646567046,1.0,0.1733333333333333,0.2432432432432432,,
heart--bound-risk,0.4751824079575814,0.7634099529113446,0.985637695597382,0.9762636192815256,0.962085972131741,0.066134680628473,0.1169707076154179,0.1295158905535227,0.2286521103603572,1.5888537979563928,10.0,100.0,0.5,0.1625832308677592,0.2871374641680662,0.7867895650168577,1.0,0.1466666666666666,0.25,,
heart--c-bound-joint,0.4128893599324578,0.6687078302476042,0.9554486589474548,0.985732735610837,0.97666259426833,0.2162518745038183,0.2519465117738148,0.1032639939891956,0.1713223061632746,1.2048198295225752,10.0,100.0,0.5,0.2113899312411047,0.297295562050182,0.8361803844073585,1.0,0.1466666666666666,0.25,,
heart--c-bound-mcallester,0.4692929968153057,0.7564635341926331,0.9829995943230838,0.976155537693067,0.9622466215800384,0.0776960640848567,0.1284642573609553,0.1263985839099814,0.2230679633700495,1.5509911904169669,10.0,100.0,0.5,0.1652466159524097,0.2873000920505272,0.7873038092450195,1.0,0.1466666666666666,0.25,,
heart--c-bound-seeger,0.4746752295549186,0.7633038266819573,0.985555332752643,0.9762646040852664,0.9620884105257989,0.0666312554217594,0.1171967116950361,0.1292978459846178,0.2285541947017681,1.5874791091262286,10.0,100.0,0.5,0.1626134736954975,0.2871525505492861,0.7868032948837277,1.0,0.1333333333333333,0.2635135135135135,,
heart--cb-boost,0.3696263932087962,0.6912596348359041,0.9812733562763007,0.9938662163455833,0.9885815908149233,0.2326309772328614,0.2549294895801289,0.0933895103708403,0.1780318376590061,1.3182061896531816,10.0,100.0,0.5,0.209704998987271,0.3054965824490706,0.880150946224862,1.0,0.0933333333333333,0.2702702702702703,,
