,c_bound_S,c_bound_T,c_bound_joint,c_bound_mcallester,c_bound_seeger,dS,dT,eS,eT,joint_bound,nb_per_attribute,nb_tree,prior,rS,rT,risk_bound,voter,zero_one_S,zero_one_T,max-iteration,mu
mnist_5_6--c-bound-joint,0.0425893318685688,0.0480847449504473,0.0782604429247926,0.211780667865234,0.1243035893752785,0.069607820683102,0.0706827597684821,0.011289676419809,0.0126223216660905,0.0730256743723175,10.0,100.0,0.5,0.04609358676136,0.0479637015503315,0.116891111545026,1.0,0.0098765432098765,0.0108108108108108,,
mnist_5_6--c-bound-mcallester,0.0444274145757761,0.0474780652919161,0.0795805964360771,0.2100411427584694,0.1250138703041335,0.0707732868047628,0.071130910073249,0.0117572646317962,0.0124902921657964,0.0741502608950391,10.0,100.0,0.5,0.0471439080341777,0.0480557472024209,0.1187120832713712,1.0,0.010405643738977,0.0108108108108108,,
mnist_5_6--c-bound-seeger,0.0431467392858554,0.0480979737643453,0.0788547481892452,0.211908865474859,0.1241925426915255,0.0684688834379224,0.0697128586881904,0.0113912874524411,0.0126000911548412,0.073505114014478,10.0,100.0,0.5,0.0456257291714023,0.0474565204989365,0.1158336904885627,1.0,0.01005291005291,0.0113513513513513,,
mnist_5_6--cb-boost,0.042173776107149,0.0488932810957007,0.0811403516206658,0.2224847197848063,0.1293676452992136,0.0691250431186303,0.0704058562299621,0.0111780080277514,0.0128070960328865,0.0761830550470722,10.0,100.0,0.5,0.0457405295870666,0.0480100241478675,0.1177356099340074,1.0,0.0089947089947089,0.0113513513513513,,
mnist_5_6--mincq,0.0630898656448563,0.1397421688989805,0.9991801209445644,1.0,1.0,0.4700509609803099,0.4702466554429526,0.1465271510887921,0.1517494260982888,1.098005907930408,10.0,100.0,0.5,0.3815526315789471,0.3868727538197652,1.0676395917275523,1.0,0.01,0.0351351351351351,,0.2368947368421052
tictactoe--bound-joint,0.2284163898241993,0.2075434890601717,0.6198948872472867,0.8243837491384833,0.7755800336789184,0.2512482778176099,0.2347920632007871,0.0645914587732795,0.058439074966145,0.5804079538644165,10.0,100.0,0.5,0.1902155976820844,0.1758351065665386,0.5923997075162031,1.0,0.0541666666666666,0.0584551148225469,,
tictactoe--bound-risk,0.4092942531718765,0.4362544357054688,0.7902919583534178,0.8190936984066911,0.7667490329984002,0.0508873602560666,0.0683358405586734,0.1103493613512033,0.1170135343779772,0.987161260700968,10.0,100.0,0.5,0.1357930414792366,0.1511814546573139,0.5110708461356427,1.0,0.1333333333333333,0.1524008350730689,,
tictactoe--c-bound-joint,0.2079934166587703,0.2022544063388136,0.6101058242444664,0.8195616854895788,0.7640000839414269,0.2395451917718881,0.2218354954462339,0.0590717387588095,0.0559872899758044,0.5750538077891261,10.0,100.0,0.5,0.1788443346447535,0.1669050376989214,0.5744282314396081,1.0,0.0583333333333333,0.0563674321503131,,
tictactoe--c-bound-mcallester,0.2391634017966145,0.2142763898798518,0.6237043173283086,0.8151141849512662,0.7540132563123421,0.2133673420601582,0.2095858623957475,0.0631038092186675,0.057431074518679,0.6002815891520996,10.0,100.0,0.5,0.1697874802487466,0.1622240057165528,0.5540226251168536,1.0,0.0666666666666666,0.0626304801670146,,
tictactoe--c-bound-seeger,0.2639707009651637,0.2437176972052029,0.6529815210288917,0.8197086991693456,0.7502309781018502,0.1801531165799686,0.1854243601502991,0.0668369530499966,0.0623907415748892,0.6560628718696695,10.0,100.0,0.5,0.1569135113399809,0.1551029216500388,0.5345126495356052,1.0,0.075,0.0835073068893528,,
tictactoe--cb-boost,0.1920571287855522,0.2141346539461035,0.6489697398505732,0.8463036250778964,0.7942897378911531,0.2484184724317464,0.2225199740754145,0.0569934130046609,0.0585416357734666,0.6244424602346821,10.0,100.0,0.5,0.1812026492205342,0.1698016228111739,0.6001626975393344,1.0,0.0375,0.0626304801670146,,
tictactoe--mincq,0.3035797775711019,0.2341440868236144,0.7818589959685265,0.9323282331405324,0.9158953469232546,0.3205106687395738,0.3116490740895143,0.0897446656302129,0.0756147897724471,0.762240629386976,10.0,100.0,0.5,0.2499999999999998,0.2314393268172043,0.7642570980824528,1.0,0.0666666666666666,0.0709812108559499,,
usvotes--bound-joint,0.1057597558733388,0.1323614253002382,0.5220606835689947,0.7681746574863745,0.648240910612945,0.1070244562258335,0.111390327513612,0.0273132579907718,0.0337121290803469,0.49040822956649,10.0,100.0,0.5,0.0808254861036885,0.0894072928371529,0.4077370512660584,1.0,0.036697247706422,0.032258064516129,,
usvotes--bound-risk,0.0852525441197058,0.1563126919002113,0.5948464384155676,0.7498211106711573,0.5843126446490496,0.040095809360414,0.0720837308017304,0.0213148812081124,0.0390890222527602,0.6372939538472469,10.0,100.0,0.5,0.0413627858883194,0.0751308876536254,0.3421045719441096,1.0,0.0275229357798165,0.0599078341013824,,
usvotes--c-bound-joint,0.0818952595984857,0.1272478097018274,0.507571487235251,0.7536524688888245,0.6205962861938152,0.092862918069577,0.1021513697846924,0.0212524037961479,0.0322570237182663,0.4811078775577608,10.0,100.0,0.5,0.0676838628309365,0.0833327086106126,0.3805168410232794,1.0,0.036697247706422,0.0368663594470046,,
usvotes--c-bound-mcallester,0.0864406951732693,0.1358916641742305,0.5381802452812989,0.7414090176917094,0.5932737056374343,0.0627929409080059,0.0871290453878165,0.0217173152982192,0.0340818141867039,0.5384495285439486,10.0,100.0,0.5,0.0531137857522222,0.0776463368806121,0.3516668004600695,1.0,0.0458715596330275,0.0414746543778801,,
usvotes--c-bound-seeger,0.0844272176794693,0.15477469121901,0.5909754069859858,0.7491722441193008,0.5844134643964511,0.041426557245395,0.0732253629570818,0.0211069734174334,0.0386987712456375,0.6304889054198946,10.0,100.0,0.5,0.0418202520401309,0.0753114527241784,0.3422417489928879,1.0,0.036697247706422,0.0460829493087557,,
usvotes--cb-boost,0.0604065204279503,0.1424355824689188,0.5897124011845778,0.7798055468808525,0.6379848682777337,0.0752153838082565,0.0960539043433839,0.0156682010699144,0.0357941210217478,0.6107190005519276,10.0,100.0,0.5,0.0532758929740427,0.0838210731934398,0.3882559542298849,1.0,0.0,0.0368663594470046,,
usvotes--mincq,0.0531206314865696,0.1392589769644392,0.9850242542868358,1.0,1.0,0.4283153336049939,0.4309452000114816,0.1016186489869769,0.1121349709440927,1.0596259991650014,10.0,100.0,0.5,0.3157763157894739,0.3276075709498335,1.0345797889319646,1.0,0.0,0.0460829493087557,,
wdbc--bound-joint,0.1506488747147082,0.1249648833963116,0.5320124417502976,0.7489232792618123,0.635208707526389,0.1046326047799901,0.0948075063136487,0.0379241693307774,0.0315513199293273,0.5125931460833071,10.0,100.0,0.5,0.0902404717207725,0.0789550730861517,0.4020537583727199,1.0,0.0489510489510489,0.0352112676056338,,
wdbc--bound-risk,0.168830973543011,0.1427739913190674,0.5854284727841776,0.7278914120224964,0.6040781814365099,0.0510022408749785,0.071914745289876,0.0425306918835372,0.0356935791068372,0.6185149431461756,10.0,100.0,0.5,0.0680318123210265,0.0716509517517752,0.3616923819942378,1.0,0.0699300699300699,0.0633802816901408,,
wdbc--c-bound-joint,0.1311599586643658,0.1220008497980442,0.5232947519318141,0.7426743716326484,0.6231497699794233,0.0999524841030178,0.0934669877434418,0.0331440989051697,0.03081198828624,0.5058427112541084,10.0,100.0,0.5,0.0831203409566786,0.0775454821579609,0.3900278988041393,1.0,0.0349650349650349,0.0316901408450704,,
wdbc--c-bound-mcallester,0.1684398289393101,0.1407828367943238,0.5641030598801715,0.7253569019802267,0.6046842076119792,0.0606547398631816,0.0754503130320125,0.0422723377930786,0.035203199800822,0.579915887315261,10.0,100.0,0.5,0.0725997077246694,0.0729283563168282,0.3644314021466882,1.0,0.0629370629370629,0.0598591549295774,,
wdbc--c-bound-seeger,0.1605033101534017,0.1375286121871621,0.5672861703072585,0.7265328559764107,0.603097358327305,0.0595430992365452,0.0764211320165265,0.040250479893115,0.0343992995022417,0.5866176034219697,10.0,100.0,0.5,0.0700220295113877,0.072609865510505,0.3627014412923125,1.0,0.0559440559440559,0.0528169014084507,,
wdbc--cb-boost,0.1068826281253562,0.1249840864831091,0.5913442943013093,0.7811711894023119,0.6683465977663368,0.1059368609200324,0.0952143549593954,0.0275410242783695,0.0315639493582243,0.6030561901127067,10.0,100.0,0.5,0.0805094547383857,0.0791711268379221,0.424245336860602,1.0,0.0139860139860139,0.0246478873239436,,
wdbc--mincq,0.1212835179626898,0.1251454629727033,0.9919226559794236,1.0,1.0,0.443243205411437,0.4441417616039407,0.1204652393995445,0.1216155988436712,1.0662995075513686,10.0,100.0,0.5,0.3420868421052629,0.3436864796456417,1.0397768527203142,1.0,0.0349650349650349,0.0387323943661971,,
